screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
dievouchkalau,2021-12-23T10:56:38Z,"RT @BFMTV: 🔴 ALERTE INFO 
Covid-19: pour le patron de l'OMS, ""aucun pays ne pourra se sortir de la pandémie à coups de doses de rappel""
https://t.co/1AFFOGFDxe https://t.co/B9D874qOIO",,BFMTV,,Twitter for iPhone,fr,1473970801309192194
algsavi,2021-12-23T10:56:38Z,"RT @GFiuza_Oficial: Ex-jogador inglês Matt Le Tissier pede investigação sobre a relação entre as vacinas de covid e os múltiplos casos de atletas tendo problemas cardíacos, colapsando em campo e morrendo subitamente. Besteira dele, isso sempre foi assim - pergunta aos checadores da mamãe farma.",,GFiuza_Oficial,"Casado, pai de 3 e cristão.",Twitter Web App,pt,1473970801053421580
BonnieBoestar,2021-12-23T10:56:38Z,"RT @TheChefsGardens: @ericjem7 @POTUS He promised to cancel debt
Not delay he because he failed at having a covid plan",,TheChefsGardens,"I am nonbinary!!! Pronouns are they/them, 20, pansexual ☭

Likes/RTs a lot of NSFW stuff, follow at your own risk?

Please check pinned for writing commissions!",Twitter for Android,en,1473970800407597069
Iscolandia23,2021-12-23T10:56:38Z,"RT @AndaluciaVox: El pasaporte Covid impuesto por el Gobierno de Juanma Moreno traerá más ruina, más paro y más miseria.

Las restricciones deben llegar a su fin.

🗣️ @Rodrigo_AlonsoF: ""El pasaporte Covid es un atentado contra los derechos y las libertades de todos los andaluces"". https://t.co/HiiLPhBjVS",,AndaluciaVox,ViVE TU ViDA Y DEjA ViViR #HALAMADRiD #ViVAESPAÑA BLOQUEADO POR PODEMOS⛔️🇪🇸🇪🇸#SOLOQUEDAVOX💚💚,Twitter for iPhone,es,1473970800294301702
araghrebin,2021-12-23T10:56:38Z,RT @yesmonga: j’utilise plus le masque pour combattre le froid que le covid,,yesmonga,ٱلْحَمْدُ لِلَّٰهِ,Twitter for iPhone,fr,1473970800285921284
ChemOrbis,2021-12-23T10:56:38Z,"China’s Xi’an city enters lockdown on rising Covid-19 cases

For full story: https://t.co/m10hQTOrrh",,,"Stay on top of global plastics news, daily prices and market trends",Twitter Web App,en,1473970800206258180
kareyholmes,2021-12-23T10:56:38Z,"RT @drphilhammond: When people who have refused to be vaccinated are admitted to hospital with Covid, do they also refuse all other treatments based on knowledge gained in the last two years because they are ‘too new’ and they want to wait for more evidence? Genuinely interested in the answers.",,drphilhammond,,Twitter for iPhone,en,1473970800084631560
CaroleAnne66,2021-12-23T10:56:38Z,"RT @IshatReza: Hearing of more &amp; more people I know (of) either exposed to, or with, COVID. Mostly from meals with others. A brunch with 8 people led to all 8 getting COVID as the host was feeling a sore throat coming on but didn’t want to cancel. Prob not a good time to be dining with friends.",,IshatReza,,Twitter for Android,en,1473970799635800066
NICANDAMY,2021-12-23T10:56:38Z,"RT @drphilhammond: When people who have refused to be vaccinated are admitted to hospital with Covid, do they also refuse all other treatments based on knowledge gained in the last two years because they are ‘too new’ and they want to wait for more evidence? Genuinely interested in the answers.",,drphilhammond,,Twitter for iPhone,en,1473970799539273734
SanjayS05069234,2021-12-23T10:56:38Z,"RT @TruthAloneTriu7: AKTU’s latest notice on offline exams. Meanwhile, students oppose university’s move amid COVID and Omicron threat. #AKTU #AKTUExamOnline #Aktuonlineexam2021 #aktuOnlineExam #AKTUExamOnline @AKTU_Lucknow @74_alok @myogiadityanath @myogioffice @NidhiTanejaa @erPawanBhadana @rmulko https://t.co/ZXNiScsQii",,TruthAloneTriu7,Engineering Student,Twitter for Android,en,1473970799493087232
patyvcp,2021-12-23T10:56:38Z,"RT @ViggianoMila: Un compañero tiene síntomas en CABA y necesita hisoparse. Con mucho criterio no lo deja pasar. Estuvo en UFUs d 3 hospitales y fue en colectivo. Y aun así no PUDO hisoparse. Se siente mal, fiebre etc. Y mañana saldrá d nuevo y ojalá no sea nada. P si es covid: 2 días en bondi.🤦🏻‍♀️",,ViggianoMila,"60 años - felizmente casada, madre de dos soles, amante de la justicia,del arte,de la musica, de la naturaleza y de las cosas lindas de la vida...🇦🇷✌F&F",Twitter for Android,es,1473970799170101249
NickStepladder,2021-12-23T10:56:38Z,"RT @wearesecondstep: We know the Christmas period isn’t great for everyone, and Covid is only adding to the stress. #StepladderSomerset helps men in Somerset access wellbeing support. There’s loads of amazing things happening in Somerset, have a look: https://t.co/SeUAqRXZJH https://t.co/lneaxgSheI",,wearesecondstep,Coordinating Stepladder - A men's mental health project in Somerset. Community development and increasing access to wellbeing support for men. All views my own,Twitter Web App,en,1473970799052738563
Pepe01416142,2021-12-23T10:56:38Z,RT @VSainement: HORRIBLE!! Le patron de L'OMS dit que certains pays utilisent les rappels de vaccins covid pour tuer des enfants....Source : https://t.co/DQVbFXIIBd https://t.co/2ntCURuFJv,,VSainement,"La bataille entre le bien et le mal dépend des choix que nous faisons, et ces choix exigent des sacrifices. C'est le test.",Twitter for Android,fr,1473970798566293511
Loreign83,2021-12-23T10:56:38Z,"RT @AllisonPearson: Astonishing fact. 70% of London’s so-called “COVID hospitalizations”are diagnosed several days after admission for other ailments. 
  They are NOT COVID patients.
  A positive test 8 days after admission means the hospital basically gave the patient COVID.",,AllisonPearson,I passionately believe that the UK supporting EU at the expense of the British has been counterproductive & Brexit will prove that in the end,Twitter Web App,en,1473970798314545162
zzz_juliaaa,2021-12-23T10:56:37Z,RT @mesiientofeo: de verdad pensáis que subiendo esto creáis una capa de protección con anticuerpos y no podéis coger el covid? xdddd https://t.co/cItyLCM5un,,mesiientofeo,"cromosoma x
small tit cyber nihilist
roju",Twitter for Android,es,1473970798004260869
FlowsUniquely4u,2021-12-23T10:56:37Z,RT @AyeMarleyy: Been Covid free all pandemic. I need god to stay on my side 🙏🏾,,AyeMarleyy,"Took a trip down the turnpike & landed on Mars. Rest Easy Junior 1989-2009. Entrepreneur, B.S. obtained … MBA loading IG @flowsuniquely4u & @zionskitchenllc",Twitter for iPhone,en,1473970797177880577
elisfilho1411,2021-12-23T10:56:37Z,RT @veramagalhaes: Faz seis dias que a Anvisa liberou a vacinação de crianças contra a COVID-19. E o governo Jair Bolsonaro ainda não começou a vaciná-las. E Augusto Aras finge que não é com ele. E ele e o STF aceitam essa balela de consulta pública como se fosse algo tecnicamente justificável,,veramagalhaes,"Colorado, pai de colorado",Twitter for iPhone,pt,1473970797094051841
LauraPizorno,2021-12-23T10:56:37Z,"RT @vocescoruna: #ÚLTIMAHORA | A partir de las 15h de hoy se realizarán test de antígenos sin cita en el ambulatorio del Ventorrillo, nos confirman desde el covid auto del centro. Esta mañana solo se hacen PCR con cita previa. En la zona hay cola de coches #ahoramismo, regula tráfico PoliciaLocal",,vocescoruna,El equilibrio es imposible,Twitter for Android,es,1473970796955672590
LeilissBerry,2021-12-23T10:56:37Z,RT @pbolatti123: El que llega sin covid al viernes gana,,pbolatti123,estoy fatal porque no valorais un paso adelante como se merece,Twitter for Android,es,1473970796850819077
BlackintonJeff,2021-12-23T10:56:37Z,"RT @QQuantity2: World Council for Health Reveals Spike Protein Detox

What do the covid shots do? 
They instruct your body to create spike protein.
That is what mRNA does.  LOOK IT UP.

Twitter won't let me post the article. 🎯

READ and SHARE. 
Many people are worried about their loved ones. https://t.co/PGgQtQj2uy",,QQuantity2,honesty,Twitter Web App,en,1473970796624326658
DailyCaller,2021-12-23T10:56:37Z,'South Park' Rips LeBron James In New Special https://t.co/xeFmncauru,,,https://t.co/uo2K1wBB0O,Twitter Web App,en,1473970796586483714
MAUREEN96724504,2021-12-23T10:56:37Z,RT @1Nicdar: Well alrighty then!😳😳😳                                                                                              FDA Authorizes Pfizer’s COVID-19 Pill Weeks After Landing $5 Billion Deal With Biden Administration https://t.co/wOGBzPXKOC,,1Nicdar,"Please don't follow, then DM me.
I'm honored that you would choose  to follow. I'll try and follow you back.
But sorry I don't  answer DM...",Twitter Web App,en,1473970796221640711
rakeshc31845590,2021-12-23T10:56:37Z,"RT @Sunil_JainK: *Shiv Sena Andheri west Initiative
Yesterday 150 Patients Eye Check Up Done to evaluate for Cataract operations 100 were identified &amp; after Covid checkup s operation s planned on 21/12/21
Never Before in History of Andheri
1000 Free Cataract Operations @AUThackeray @advanilparab https://t.co/citvMAYSrV",,Sunil_JainK,,Twitter for Android,en,1473970796083101700
HelloAudrey1,2021-12-23T10:56:37Z,RT @gkierzek: Les autorités anglaises attendent plus d’éléments avant d’autoriser la vaccination des 5-11 ans sans risques. Il faut 1 million de doses (d’enfants vaccinés) pour prévenir 2 infections graves chez les enfants en bonne santé. Bénéfices /risques?! https://t.co/z9RKFXMbn3,,gkierzek,,Twitter for iPad,fr,1473970795798016003
AmbiConstructiv,2021-12-23T10:56:37Z,RT @vitoquiles: Mañana a las 12 estaré en el Congreso de los Diputados apoyando la manifestación que promueve @Alvisepf contra el uso de la mascarilla en exteriores y esta tiranía del Covid.,,vitoquiles,"Fui censurada en este cybermundo, por ser disidente de l'actual dictadura socialcomunista. Sobreviviendo entre solsticios y equinoccios, eclipsando. 💚🇪🇦",Twitter for Android,es,1473970795495968771
OlutosinCharis,2021-12-23T10:56:37Z,RT @_ebonybliss: It’s so sad that COVID is spiking on the week of Christmas🥺. Y’all stay safe!,,_ebonybliss,"Believer | Oluwatosin Bu Ogaranya☘️|
Customer Experience Designer |
 Education Investor @olatayoeducates
2017 @queensleaders | GYA @Theirworld #ProudOEVolunteer",Twitter Web App,en,1473970795261177857
staylor111,2021-12-23T10:56:37Z,"@dez_emunney1 @YALiberty @joerogan Wow... the ""globalists""? The ""enemy""? Sounds like science is YOUR enemy. Since you clearly think the virus isn't real, maybe you need to take a walk through a COVID ward, hold someone's hand while they're dying, and tell them this is all fake and staged by the ""globalists."" WTF",dez_emunney1,,"She/her. Lawyer, hockey writer, stage manager... Sabres fan w/tattoo to match, Jimmy Carter groupie w/airmiles to match.🇨🇦 #Surrealtor #Earper #Vagrant",Twitter Web App,en,1473970795084984320
ellswoood,2021-12-23T10:56:37Z,RT @_Rashad25: Covid really went back watched film and got better,,_Rashad25,all i do is retweet,Twitter for iPhone,en,1473970795030450179
ain_cecile,2021-12-23T10:56:36Z,"@BFMTV @olivierveran La mère de mon ami est dcd du covid à 67ans double vaxx, certes elle était en obésité maïs pas très fragile 
Ne mentez pas",BFMTV,,“Personne ne peut fuir son coeur. C'est pourquoi il vaut mieux écouter ce qu'il dit.” #barricade,Twitter for iPhone,fr,1473970793709195264
MenInBoxes,2021-12-23T10:56:36Z,"RT @latimeralder: 67,893,878 people in UK did NOT test positive for Covid today.",,latimeralder,"Most notorious prison in the world is an exhausted mind so, Laugh - and I cannot stress this enough - Out Loud.

Abibliophobic",Twitter for Android,en,1473970793591758849
leapcode,2021-12-23T10:56:36Z,"RT @BigDataSur: It has been an important year for #BigDataSur! The year of the launch of our multilingual book, #COVID19 from the Margins, and of the start of many new #decolonial endeavours. 

Our book is #openaccess, and it is a great holiday read: 👉👉 https://t.co/jbpn2bneye

Happy holidays! https://t.co/1puAVfW3nV",,BigDataSur,"LEAP Encryption Access Project. We build tunnels. Oh and you can, too.",Twitter Web App,en,1473970793348534273
joy_gimbel,2021-12-23T10:56:36Z,"RT @APFactCheck: Social media users are misrepresenting a study to claim that getting COVID-19 means you are protected from the virus for life. The study authors say that's false. Reinfection can happen, especially as the virus mutates. https://t.co/0dQ2PsBbFd",,APFactCheck,"Designer/artist Love the ocean. Save our coral reefs🌊 🌍Black Lives Matter. Education & police reform essential. I support our servicemen, women. Mind open",Twitter for iPhone,en,1473970793109458950
bionity_com,2021-12-23T10:56:36Z,"Shifting meetings, conventions online curbs climate change https://t.co/4aIy2PgSUw 
The COVID-19 global pandemic – unexpectedly – has shown humanity a new way to reduce climate change: Scrap in-person meetings and conventions. Moving a professional conference completely online … https://t.co/PWiJnNvCKt",,,"The leading portal for life science and pharma in Europe, the USA and Asia. 
Imprint: https://t.co/8A6PJ5RwbQ",IFTTT,en,1473970793084338181
pmrnabawan,2021-12-23T10:56:36Z,"RT @JapenSarawak: 35 KES COVID -19 DIKESAN DI SARAWAK HARI INI

#COVID19
#LindungDiriLindungSemua
#MenangBersama
#JapenSarawak
#khabardariSarawak
#sodiakroks https://t.co/9ABMGiWcav",,JapenSarawak,Pusat Maklumat Rakyat Nabawan Sabah,Twitter for Android,in,1473970792996106241
Gador_El_Ven,2021-12-23T10:56:36Z,"RT @MarianaLestelle: voy a hacer un hilo para apelar al sentido común a través de la reflexión basada en la evidencia científica existente, porque leo y escucho muchas necedades #Covid_19",,MarianaLestelle,"“El infinito es no ponerte límites, el infinito será todo lo que pude hacer, el infinito es haber dado lo máximo de mí”. Braian Toledo",Twitter for Android,es,1473970792970944512
franklinlithgow,2021-12-23T10:56:36Z,"RT @EricTopol: More today on the difference/advantage of immune response in children compared with adults vs Covid
https://t.co/C3Tk5jhGUz
https://t.co/769vksZhPq
https://t.co/JaRNBrk9UG
@NatImmunol https://t.co/HwC98Wgvie",,EricTopol,"FDI and Business Development, amigo, hijo, padre, hermano. Amante de la Justicia, la democracia y la verdad.",Twitter for iPhone,en,1473970792715239425
heavenlypillar_,2021-12-23T10:56:36Z,RT @jubricant: hey uh so we all remember that covid has an incubation period of 2-14 days right..... because passing a rapid test the day after going to a super spreader event means literally nothing,,jubricant,poppy | old enough | occassional 🔞 | danmei | ffxiv,Twitter for iPhone,en,1473970792564101120
haixternoyaiba,2021-12-23T10:56:36Z,"RT @ViralSpiral2020: Viral Spiral by Sarah P. Ross

Check it Out!
Amazon: https://t.co/JDKKLXnqkv
Barnes and Noble: https://t.co/NvvP9FbL0g
Website: https://t.co/vnexGpHaOP https://t.co/GdkHRY0Khh",,ViralSpiral2020,not new to anitwt but still,Twitter for Android,en,1473970792555679744
CatherineGbold,2021-12-23T10:56:36Z,RT @nikosevangelou3: We had @theABN_Info criteria for clinically vulnerable patients to prioritise vaccination. now ALL #MultipleSclerosis  patients are entitled NHS treatment in the community if they have positive COVID PCR. All MS centres have to message ALL patients ASAP @mssocietyuk,,nikosevangelou3,"Research comms manager at MS Society. Like to talk about MS, scicomms, my 🐶, occasionally other stuff...views my own",Twitter for iPhone,en,1473970792069275653
vwdasher,2021-12-23T10:56:36Z,"RT @Suzanne54136465: Niece is in charge of a COVID Ward in a Melbourne hospital  and the staff had leave cancelled for Xmas, so I don't want to see anyone whinging about not being able to go to a Xmas party or out for a meal, think of the front line workers doing it really tough again",,Suzanne54136465,Car photography -- motorsport & carshows,Twitter Web App,en,1473970791201255435
atoscanof4,2021-12-23T10:56:36Z,"RT @JaviGarcia_Ok: Hace exactamente un año con nadie vacunado, había un total de 5.853 casos positivos de COVID. Hoy, después de un año y con casi el 70% de la población vacunada, los casos positivos son 9.336. Algo no cierra.",,JaviGarcia_Ok,"Fotografia,Constructor, político por afición, Locutor Ritmo Musical radio ( La Cafetería), pendiente del acontecer mundial y critico del globalismo documentado",Twitter for Android,es,1473970791125553153
MagicMan112,2021-12-23T10:56:36Z,"RT @lpoolcouncil: Unvaccinated. Young. Fighting for their lives.

This is the reality of what is happening on the Covid Intensive Care Unit in @LivHospitals.

Please make sure you get vaccinated and protect yourself.

#vaccineswork @LivHospitals https://t.co/Sinj3nOTQB",,lpoolcouncil,"Photographer, Director, performer, Scottish independence supporter. One time magician",Twitter for iPhone,en,1473970790588690433
tartancobweb,2021-12-23T10:56:36Z,"RT @ScotNational: Nicola Sturgeon responded to two new studies suggesting catching the variant is less likely to put you in hospital 

https://t.co/Ng92DrmZyb",,ScotNational,,Twitter for Android,en,1473970790408372229
SEALspouse,2021-12-23T10:56:36Z,"RT @SharylAttkisson: To be sure I understand: The Covid rate in Spain among a heavily-vaccinated population is now far, far worse than it was when nobody was vaccinated? 🤔😫 https://t.co/w6AeyBl2Ji",,SharylAttkisson,"“The difference between ordinary and extraordinary is that little extra.” 
― Jimmy Johnson",Twitter Web App,en,1473970789862891528
Poeta_diletante,2021-12-23T10:56:35Z,"RT @JaviGarcia_Ok: Hace exactamente un año con nadie vacunado, había un total de 5.853 casos positivos de COVID. Hoy, después de un año y con casi el 70% de la población vacunada, los casos positivos son 9.336. Algo no cierra.",,JaviGarcia_Ok,"Frente a los enemigos de España, altiva la mirada, adusto el gesto, pronta la respuesta,
ágil el verbo.",Twitter for Android,es,1473970789720408070
Jsol991,2021-12-23T10:56:35Z,RT @DidierMaisto: 2e jour de traitement ivermectine + azithromycine + zinc + vitamines : amélioration spectaculaire de mon état ! Vraiment spectaculaire ! #COVID,,DidierMaisto,"Patriote. Favorable au frexit et au RIC. Opposé au: communisme et à tout ce qui finit en ""isme""; à l'assistanat généralisé et à l'immigration no limit.",Twitter Web App,fr,1473970789632430085
